State,Crop,Year,Season,Area (ha),Production (tonnes),Yield (tonnes/ha),Fertilizer Used,Irrigation Type,Soil Type,Pesticide Used,Temperature (°C),Rainfall (mm),Labor Count,District,Market Price (Rs/quintal),Government Support
Karnataka,Sugarcane,2020,Kharif,7913.01,21516.87,2.72,Compost,Drip,Sandy,No,28,137.1,61,Chennai,4764.56,No
Tamil Nadu,Rice,2018,Zaid,37059.33,149882.17,4.04,DAP,Drip,Black,No,27.5,1678.3,58,Kolkata,1908.6,Yes
Karnataka,Cotton,2019,Kharif,21649.8,90453.19,4.18,MOP,Canal,Clay,Yes,23.7,373.8,20,Ludhiana,2558.5,No
Tamil Nadu,Cotton,2020,Zaid,13711.75,36186.37,2.64,DAP,Drip,Loamy,Yes,28.6,1951.9,66,Amritsar,3425.83,Yes
Tamil Nadu,Sugarcane,2020,Kharif,17914.42,68460.02,3.82,None,Drip,Loamy,Yes,39.7,1247.4,88,Patna,4021.36,Yes
Punjab,Rice,2021,Zaid,47474.21,179966.06,3.79,MOP,Rainfed,Sandy,Yes,26,1496.5,60,Amritsar,4606.61,No
Karnataka,Wheat,2018,Rabi,24884.13,104106.66,4.18,DAP,Canal,Clay,No,32,309.9,27,Chennai,4661.89,No
Karnataka,Wheat,2018,Zaid,26110.43,97262.94,3.73,MOP,Sprinkler,Black,Yes,35.5,1738,21,Bangalore,4106.56,No
Haryana,Cotton,2017,Zaid,11683.13,40133.45,3.44,Urea,Canal,Red,No,35,1694.5,84,Bangalore,1913.32,No
Maharashtra,Sugarcane,2018,Rabi,45128.04,161272.52,3.57,Compost,Drip,Sandy,No,26.6,1340.7,42,Patna,1099.24,No
West Bengal,Maize,2018,Kharif,40937.67,122578.53,2.99,DAP,Rainfed,Black,Yes,32.2,1054.3,76,Chennai,2535.1,No
Haryana,Wheat,2021,Kharif,25375.78,92890.78,3.66,None,Canal,Red,Yes,37.4,1470.8,87,Amritsar,1566.2,Yes
West Bengal,Rice,2021,Zaid,45100.91,185891.08,4.12,Urea,Canal,Loamy,Yes,20.3,111.3,34,Bangalore,3841.55,Yes
Karnataka,Rice,2020,Kharif,33586.8,68050.68,2.03,DAP,Drip,Loamy,Yes,28.7,1225.6,62,Lucknow,3644.52,Yes
West Bengal,Wheat,2018,Kharif,19773.79,60443.59,3.06,Urea,Drip,Clay,No,24.5,1710.1,82,Mumbai,1175.89,No
Karnataka,Rice,2020,Rabi,37163.65,64976.78,1.75,None,Canal,Red,No,27.8,778.1,26,Chennai,4346.38,No
Bihar,Maize,2018,Kharif,20075.49,47500.24,2.37,DAP,Drip,Loamy,No,28.3,305.7,21,Kolkata,1994.97,No
Karnataka,Sugarcane,2017,Zaid,15558.96,49776.44,3.2,None,Drip,Loamy,Yes,34.9,899.7,19,Kolkata,2728.91,Yes
Haryana,Cotton,2017,Rabi,2527.97,5780.94,2.29,MOP,Drip,Clay,No,21.9,1481.5,52,Lucknow,3671.73,No
Uttar Pradesh,Sugarcane,2019,Kharif,25321.95,83322.6,3.29,None,Drip,Black,Yes,30.3,303.9,36,Lucknow,2717.68,Yes
Haryana,Wheat,2018,Rabi,6223.31,10737.78,1.73,MOP,Drip,Loamy,No,31.3,491.5,81,Chennai,2765.15,No
Punjab,Wheat,2017,Kharif,34731.72,97404.48,2.8,DAP,Rainfed,Sandy,Yes,29.9,380.3,89,Mumbai,1262.51,No
Tamil Nadu,Maize,2019,Rabi,40171.38,143977.82,3.58,MOP,Drip,Sandy,No,34.6,1614.2,44,Bangalore,2605.77,No
Maharashtra,Rice,2020,Zaid,16415.23,64385.3,3.92,DAP,Sprinkler,Black,No,27.7,219.5,61,Mumbai,4059.39,Yes
Punjab,Cotton,2017,Rabi,34837.45,106738.53,3.06,DAP,Canal,Red,Yes,38.9,1404.5,62,Patna,4660.71,No
Bihar,Maize,2021,Kharif,33280.38,119038.25,3.58,Compost,Rainfed,Clay,No,29.6,796.3,95,Amritsar,2653.99,Yes
Maharashtra,Wheat,2018,Kharif,32686.58,117002.45,3.58,DAP,Rainfed,Sandy,No,31.4,1536,20,Amritsar,2694.34,No
Punjab,Cotton,2018,Zaid,3164.11,10330.16,3.26,MOP,Drip,Sandy,Yes,36.5,1932.3,32,Lucknow,3810.51,No
Punjab,Rice,2021,Rabi,45858.93,73458.57,1.6,Compost,Canal,Black,Yes,25.5,317.6,5,Bangalore,4771.09,No
West Bengal,Wheat,2019,Rabi,21666.37,84196.07,3.89,Compost,Sprinkler,Red,Yes,21.5,697.3,45,Mumbai,2068.24,No
Tamil Nadu,Sugarcane,2019,Rabi,26599.29,91332.38,3.43,DAP,Drip,Red,Yes,34.2,1639.2,52,Lucknow,2760.58,Yes
Maharashtra,Maize,2020,Kharif,4770.71,17121.44,3.59,None,Canal,Black,Yes,29.7,605.7,35,Chennai,4183.89,No
Karnataka,Rice,2020,Zaid,16449.23,51296.49,3.12,None,Drip,Sandy,No,37.9,508.7,40,Lucknow,3438.77,Yes
West Bengal,Wheat,2021,Rabi,26488.24,73649.26,2.78,Compost,Drip,Clay,Yes,39.7,1668.2,37,Chennai,1442.35,No
Bihar,Rice,2019,Rabi,49526.72,74325.37,1.5,DAP,Drip,Sandy,No,28,1975.5,37,Chennai,3510.93,No
West Bengal,Cotton,2018,Zaid,4431.46,6773.29,1.53,None,Drip,Red,No,28.3,1158.1,86,Patna,1746.99,No
West Bengal,Wheat,2021,Rabi,24513.91,82918.7,3.38,DAP,Drip,Sandy,Yes,28.2,628.3,27,Patna,3040.86,Yes
Karnataka,Sugarcane,2017,Rabi,5493.27,13783.23,2.51,DAP,Drip,Clay,No,26.5,857.3,64,Chennai,3116.41,No
Bihar,Cotton,2017,Rabi,1163.97,3377.76,2.9,Compost,Drip,Loamy,No,35.6,423.2,91,Ludhiana,4504.81,Yes
Karnataka,Rice,2020,Rabi,12446.78,20241.94,1.63,Compost,Sprinkler,Sandy,Yes,35.2,1547.6,83,Bangalore,2849.98,Yes
Punjab,Cotton,2017,Zaid,19832.01,70184.33,3.54,Urea,Rainfed,Black,No,29.6,1569.6,94,Patna,2117.77,No
Bihar,Maize,2018,Kharif,39530.91,69899.86,1.77,None,Sprinkler,Loamy,Yes,20.9,1762.7,34,Patna,1923.87,Yes
Maharashtra,Maize,2021,Rabi,9184.66,41087.63,4.47,None,Drip,Black,Yes,26.2,150.5,93,Amritsar,4497.01,No
Uttar Pradesh,Sugarcane,2021,Zaid,12297.89,49092.29,3.99,None,Drip,Black,Yes,25.8,1167.8,49,Lucknow,1684.04,Yes
Maharashtra,Rice,2019,Rabi,19820.44,31914.79,1.61,MOP,Sprinkler,Black,No,36.2,507.1,84,Amritsar,2703.47,Yes
Haryana,Maize,2021,Kharif,31859.12,68464.36,2.15,DAP,Sprinkler,Sandy,No,21.8,747.7,43,Bangalore,1748.69,Yes
Punjab,Maize,2020,Rabi,26726.54,60955.22,2.28,Compost,Rainfed,Red,No,36.1,1591.4,49,Patna,4093.22,Yes
Uttar Pradesh,Rice,2018,Rabi,49820.45,208862.69,4.19,None,Sprinkler,Loamy,No,33.4,464.9,82,Kolkata,2897.49,No
Uttar Pradesh,Cotton,2021,Zaid,2708.39,11333.97,4.18,Urea,Rainfed,Clay,Yes,34.6,1312.8,85,Ludhiana,2404.57,Yes
West Bengal,Rice,2019,Kharif,20167.32,46765.56,2.32,None,Drip,Red,No,28.6,1343.7,16,Patna,2444.4,No
West Bengal,Wheat,2019,Kharif,42757.48,68679.93,1.61,DAP,Canal,Sandy,Yes,33.6,1912.8,97,Mumbai,4408.86,Yes
Tamil Nadu,Wheat,2021,Zaid,5262.35,14341.8,2.73,DAP,Canal,Black,No,32.2,1572.8,36,Bangalore,3215.1,No
Tamil Nadu,Maize,2021,Rabi,27097.52,118859.64,4.39,Compost,Canal,Clay,No,35.4,1626.9,60,Kolkata,3871.47,No
Karnataka,Cotton,2020,Kharif,49582.29,83523.9,1.68,MOP,Canal,Loamy,No,28.9,1110,28,Lucknow,4588.15,Yes
West Bengal,Cotton,2019,Rabi,28994.63,101085.02,3.49,Compost,Drip,Red,No,29.5,454.9,17,Lucknow,4606.97,Yes
Karnataka,Maize,2021,Kharif,36961.59,113242.21,3.06,None,Canal,Red,No,32.9,908.6,24,Kolkata,2314.04,No
Karnataka,Sugarcane,2017,Zaid,43497.42,157682.02,3.63,Urea,Sprinkler,Clay,Yes,22.2,1144,83,Lucknow,4809.81,Yes
Uttar Pradesh,Cotton,2017,Kharif,34326.9,115195.38,3.36,Compost,Sprinkler,Sandy,No,28.7,1389,60,Ludhiana,1099.5,Yes
Maharashtra,Sugarcane,2021,Zaid,48104.45,139330.21,2.9,MOP,Canal,Loamy,No,39.4,1254.6,57,Kolkata,2507.34,Yes
Tamil Nadu,Rice,2018,Zaid,12202.63,51569.58,4.23,Compost,Sprinkler,Clay,No,20.8,848.6,72,Bangalore,4583.2,Yes
Haryana,Sugarcane,2018,Rabi,38075.15,86661.52,2.28,DAP,Rainfed,Black,No,26.3,604.1,58,Kolkata,2098.55,Yes
Haryana,Cotton,2019,Kharif,28432.37,52529.7,1.85,None,Drip,Loamy,Yes,26.3,419.6,38,Kolkata,2092.33,Yes
Haryana,Sugarcane,2021,Zaid,7293.99,17141.09,2.35,None,Canal,Red,No,32.7,1418.3,32,Mumbai,2210.49,Yes
Tamil Nadu,Rice,2017,Rabi,17751.74,60318.03,3.4,None,Canal,Clay,Yes,22.1,1326.3,54,Mumbai,3449.25,Yes
Maharashtra,Cotton,2021,Rabi,46924.2,167221.76,3.56,None,Drip,Red,No,32.6,1406,6,Amritsar,2753.33,Yes
Haryana,Sugarcane,2019,Kharif,38778.23,140598.85,3.63,None,Sprinkler,Red,Yes,21.9,807.8,98,Bangalore,3906.94,No
Maharashtra,Wheat,2018,Zaid,42768.32,191193.43,4.47,None,Drip,Red,Yes,21.9,598.6,30,Bangalore,4579.64,Yes
Tamil Nadu,Cotton,2020,Zaid,7374.23,27836.17,3.77,Urea,Drip,Sandy,Yes,34.6,1543.5,55,Mumbai,3696.8,Yes
Tamil Nadu,Cotton,2019,Kharif,16856.9,49996.38,2.97,MOP,Sprinkler,Red,Yes,26.5,1569.9,51,Chennai,1817.87,Yes
Uttar Pradesh,Maize,2018,Zaid,22849.23,53030.32,2.32,None,Drip,Black,Yes,39.5,965.7,30,Chennai,4730.73,Yes
West Bengal,Sugarcane,2017,Zaid,23117.96,46024.89,1.99,MOP,Sprinkler,Black,No,20.7,1262.6,88,Amritsar,2057.97,Yes
Tamil Nadu,Cotton,2021,Zaid,11817.71,20647.23,1.75,None,Sprinkler,Loamy,Yes,28.9,809.7,96,Ludhiana,1599.58,No
Maharashtra,Sugarcane,2019,Zaid,43534.66,191104.53,4.39,Compost,Drip,Red,No,22.3,1433.7,88,Chennai,1359.87,No
Karnataka,Sugarcane,2021,Kharif,45566.7,185551.26,4.07,None,Rainfed,Red,Yes,27,1687.9,79,Chennai,3253.53,Yes
Bihar,Maize,2017,Kharif,49214.9,134258.35,2.73,DAP,Sprinkler,Clay,Yes,40,1407.6,78,Chennai,1455.05,No
Bihar,Rice,2021,Zaid,2525.57,8725.85,3.46,Urea,Drip,Sandy,No,37.8,1073.9,65,Ludhiana,1555.1,Yes
Bihar,Rice,2020,Zaid,48441.48,99623.61,2.06,Compost,Sprinkler,Loamy,Yes,21,971.5,27,Patna,2200.12,Yes
Punjab,Cotton,2021,Zaid,23230.99,71808.46,3.09,Compost,Rainfed,Red,Yes,31.3,1320.4,41,Amritsar,2126.61,No
Tamil Nadu,Maize,2021,Kharif,45679.97,201107.61,4.4,DAP,Rainfed,Clay,Yes,33,1391.6,45,Mumbai,3416.96,No
Bihar,Wheat,2017,Rabi,34592.7,96545.38,2.79,None,Canal,Sandy,Yes,24.2,1161.6,56,Chennai,4266.98,No
Maharashtra,Wheat,2020,Zaid,32924.45,81579.42,2.48,Urea,Sprinkler,Loamy,No,22.9,1287.4,87,Lucknow,4045.4,No
Haryana,Maize,2021,Kharif,1569.41,2695.21,1.72,Compost,Sprinkler,Loamy,Yes,38.1,283.5,86,Kolkata,2049.94,No
Karnataka,Rice,2019,Kharif,38095.9,166019.87,4.36,Urea,Drip,Red,Yes,39.4,1908.4,53,Patna,1981.24,Yes
Punjab,Maize,2019,Kharif,12860.21,57356.38,4.46,Compost,Sprinkler,Loamy,No,39.8,1602.5,31,Ludhiana,4863.17,Yes
Karnataka,Sugarcane,2020,Kharif,28422.79,43467.33,1.53,None,Canal,Clay,No,35.8,810.5,10,Ludhiana,1032.94,Yes
Bihar,Wheat,2018,Kharif,5305.46,13538.9,2.55,Compost,Rainfed,Loamy,Yes,33.3,1169.3,78,Ludhiana,4518.88,No
Punjab,Cotton,2020,Rabi,20449.24,38815.67,1.9,Compost,Rainfed,Black,Yes,26.9,189.9,70,Chennai,1798.91,Yes
Tamil Nadu,Rice,2018,Rabi,41250.6,66972.43,1.62,MOP,Canal,Clay,No,23.4,178.3,28,Kolkata,4789.14,No
Bihar,Wheat,2019,Kharif,35617.31,56801.01,1.59,None,Sprinkler,Sandy,Yes,21.6,576.5,42,Kolkata,2369.23,Yes
Maharashtra,Wheat,2017,Rabi,46824.89,203316.08,4.34,DAP,Sprinkler,Sandy,No,33.9,1410.4,32,Patna,2761.41,No
Bihar,Sugarcane,2019,Zaid,4925.63,20611.05,4.18,DAP,Canal,Red,Yes,35.7,1719.1,32,Amritsar,3828.48,No
Bihar,Rice,2018,Zaid,32535.31,100182.99,3.08,None,Drip,Red,No,36.5,1162.5,70,Ludhiana,3350.68,Yes
Haryana,Maize,2018,Rabi,30070.65,103770.28,3.45,DAP,Rainfed,Black,No,38.3,1111.1,65,Lucknow,2271.76,Yes
Punjab,Cotton,2019,Rabi,17121.85,49833.96,2.91,None,Canal,Sandy,No,37.6,864.4,50,Lucknow,3215.32,Yes
West Bengal,Cotton,2021,Zaid,3139.42,6231.8,1.99,DAP,Canal,Sandy,Yes,40,407,73,Lucknow,3922.83,Yes
Maharashtra,Rice,2019,Rabi,17283.42,54052.79,3.13,MOP,Sprinkler,Sandy,Yes,24.9,324.9,79,Ludhiana,1169.34,No
Uttar Pradesh,Maize,2020,Rabi,20759.81,44876.14,2.16,DAP,Rainfed,Sandy,Yes,35.3,1545.3,78,Chennai,1044.8,Yes
Maharashtra,Wheat,2020,Kharif,43545.35,160312.52,3.68,Compost,Sprinkler,Loamy,Yes,31.7,1862.3,47,Patna,2832.27,No
West Bengal,Sugarcane,2021,Rabi,49394.83,80035.81,1.62,None,Canal,Clay,No,25.2,970.7,63,Ludhiana,1527.35,Yes
Punjab,Maize,2017,Rabi,36537.63,108151.63,2.96,Urea,Drip,Clay,No,39.6,1352.9,6,Lucknow,3657.38,Yes
Haryana,Rice,2020,Rabi,33095.46,148148.52,4.48,Urea,Rainfed,Black,No,38,1837.5,19,Kolkata,1856.21,Yes
Haryana,Cotton,2020,Zaid,31525.36,107018.53,3.39,None,Canal,Loamy,Yes,22.6,271.2,41,Ludhiana,2731.4,Yes
Tamil Nadu,Wheat,2019,Rabi,36075.42,152494.32,4.23,MOP,Canal,Sandy,Yes,20.5,1563.9,75,Kolkata,1790.68,Yes
Tamil Nadu,Rice,2020,Rabi,48598.36,99283.09,2.04,DAP,Drip,Sandy,Yes,33.8,1272,24,Bangalore,3193.93,No
West Bengal,Cotton,2017,Rabi,5772.28,15672.1,2.72,MOP,Canal,Red,No,32.1,1237.4,39,Ludhiana,1464.21,Yes
Maharashtra,Wheat,2020,Rabi,5667.81,19590.05,3.46,Urea,Canal,Red,Yes,38.7,655.8,38,Bangalore,1092.43,No
Punjab,Wheat,2020,Rabi,43041.33,65728.04,1.53,None,Rainfed,Black,Yes,24.7,1399.4,90,Patna,1204.53,Yes
Punjab,Sugarcane,2020,Kharif,12614.36,27802.33,2.2,None,Rainfed,Sandy,No,21.7,1610.1,35,Ludhiana,4817.03,No
Haryana,Maize,2018,Kharif,17513.16,69818.84,3.99,MOP,Rainfed,Black,No,25.2,314.4,91,Chennai,1569.14,Yes
Punjab,Cotton,2020,Zaid,47480.58,107191.37,2.26,MOP,Sprinkler,Loamy,Yes,20.4,1113.7,23,Chennai,3833.91,Yes
Maharashtra,Sugarcane,2020,Kharif,30671.37,78831.44,2.57,DAP,Drip,Clay,No,20.7,292.4,72,Amritsar,1271.7,Yes
Bihar,Cotton,2017,Kharif,35563.89,100969.65,2.84,Compost,Rainfed,Sandy,Yes,38.3,1757.9,28,Amritsar,1432.64,No
Tamil Nadu,Sugarcane,2019,Kharif,2675.2,11931.6,4.46,Compost,Sprinkler,Loamy,No,27,1064.5,88,Lucknow,3035.51,No
Punjab,Cotton,2020,Rabi,2927.83,5464.3,1.87,DAP,Sprinkler,Sandy,No,28.2,1635.1,43,Mumbai,2859.48,Yes
Maharashtra,Cotton,2021,Zaid,16491.65,49832.89,3.02,Compost,Drip,Red,No,20.4,799.4,96,Kolkata,4806.32,Yes
Maharashtra,Sugarcane,2018,Kharif,24514.96,87221.85,3.56,Urea,Drip,Black,Yes,25.4,337.6,58,Amritsar,4779.34,Yes
Maharashtra,Rice,2017,Rabi,48681.79,157745.39,3.24,Compost,Canal,Red,Yes,36.1,178.8,43,Chennai,4118.43,No
Karnataka,Maize,2018,Zaid,33676.35,64623.36,1.92,DAP,Sprinkler,Clay,Yes,32.3,634.9,21,Kolkata,3408.41,Yes
Karnataka,Cotton,2020,Rabi,10890.82,38338.92,3.52,Compost,Rainfed,Red,No,35.1,564,23,Mumbai,2819.84,No
Haryana,Cotton,2017,Zaid,33957.5,96142.19,2.83,None,Drip,Sandy,No,28.9,1164.7,52,Amritsar,2424.71,Yes
West Bengal,Rice,2017,Zaid,48952.93,128398.17,2.62,MOP,Sprinkler,Red,No,26.2,141.3,39,Patna,4788.35,No
Maharashtra,Rice,2018,Kharif,41712.98,170765.7,4.09,Urea,Rainfed,Sandy,No,29.7,1089.1,36,Bangalore,3411.64,No
Punjab,Sugarcane,2019,Kharif,34786.81,122781.44,3.53,None,Sprinkler,Clay,Yes,26.5,844.4,51,Amritsar,3316.29,No
Uttar Pradesh,Cotton,2021,Kharif,6223.06,21616.02,3.47,None,Drip,Red,Yes,36.8,1196.5,51,Ludhiana,1927.6,Yes
Haryana,Wheat,2017,Kharif,49673.51,186637.45,3.76,DAP,Canal,Black,Yes,26,1434.6,68,Amritsar,1186.79,No
West Bengal,Cotton,2017,Zaid,44047.26,119474.71,2.71,MOP,Sprinkler,Black,No,33.2,1304.8,50,Ludhiana,4780.75,Yes
Maharashtra,Sugarcane,2019,Rabi,45167.41,186707.32,4.13,MOP,Rainfed,Black,No,22.7,1970.8,39,Patna,2254.94,No
Tamil Nadu,Maize,2021,Zaid,19407.94,46396.77,2.39,Urea,Drip,Red,Yes,33.7,362.7,98,Chennai,2770.36,Yes
Tamil Nadu,Wheat,2021,Zaid,31880.23,106145.08,3.33,DAP,Canal,Red,No,38.3,916.5,21,Lucknow,1458.56,No
Tamil Nadu,Cotton,2019,Kharif,22985.99,50859.55,2.21,Urea,Rainfed,Red,Yes,32.2,907.2,46,Patna,4347.7,No
Punjab,Maize,2020,Rabi,4586.6,15183.23,3.31,Compost,Rainfed,Sandy,No,31.2,892.4,33,Lucknow,1110.53,Yes
Maharashtra,Rice,2018,Rabi,25521.82,79809.05,3.13,None,Rainfed,Clay,No,39.2,1361.2,74,Amritsar,4335.96,Yes
Karnataka,Rice,2020,Kharif,40874.55,74667.79,1.83,Urea,Sprinkler,Black,Yes,32.5,1030.7,21,Chennai,1561.14,No
West Bengal,Rice,2021,Zaid,27146.52,90227.3,3.32,None,Drip,Sandy,Yes,25.2,1083.1,85,Mumbai,4546.26,No
Karnataka,Rice,2020,Zaid,26540.47,105290.83,3.97,DAP,Rainfed,Black,No,25.8,921.5,18,Amritsar,3919.09,Yes
Uttar Pradesh,Cotton,2020,Zaid,12930.63,55357.37,4.28,Compost,Sprinkler,Sandy,Yes,34.1,1984.2,28,Patna,1658.68,No
Tamil Nadu,Sugarcane,2021,Kharif,18229.51,32890.82,1.8,DAP,Drip,Red,Yes,34.7,1862.4,61,Mumbai,3263.27,No
West Bengal,Sugarcane,2021,Rabi,16057.21,62768.88,3.91,Compost,Drip,Black,No,26.1,684.7,54,Bangalore,2250.63,Yes
Uttar Pradesh,Rice,2020,Rabi,36091.38,83655.2,2.32,Compost,Sprinkler,Red,No,26.9,312,61,Mumbai,1712.93,Yes
Bihar,Rice,2017,Rabi,9876.32,34995.29,3.54,None,Sprinkler,Black,No,39.8,1695.6,65,Patna,4436.73,Yes
Haryana,Cotton,2017,Rabi,10076.19,42856.63,4.25,DAP,Rainfed,Loamy,Yes,22,1994.6,43,Kolkata,2614.09,No
Bihar,Sugarcane,2017,Kharif,32024.42,139441.05,4.35,DAP,Drip,Sandy,No,28.1,656,59,Mumbai,2594.17,No
Tamil Nadu,Cotton,2020,Kharif,39893.45,137226.2,3.44,Urea,Canal,Loamy,No,21.2,779.8,40,Patna,1679.55,No
Karnataka,Rice,2017,Kharif,45388.66,172923.26,3.81,DAP,Sprinkler,Sandy,No,36.4,1889.1,41,Kolkata,2532.26,Yes
Punjab,Rice,2019,Kharif,15800.96,58398.36,3.7,Urea,Drip,Clay,No,21.8,1451.1,18,Amritsar,4486.47,No
Bihar,Sugarcane,2018,Kharif,5681.23,19154.71,3.37,MOP,Drip,Black,No,33.5,661.7,31,Kolkata,2452.51,Yes
Punjab,Rice,2021,Zaid,12526.54,51456.26,4.11,MOP,Rainfed,Clay,Yes,21.1,1204,87,Chennai,4806.41,Yes
Punjab,Cotton,2017,Rabi,2158.29,7394.12,3.43,MOP,Canal,Clay,No,33.5,1894,35,Bangalore,4785.24,No
Bihar,Maize,2018,Kharif,20154.39,66175.51,3.28,DAP,Rainfed,Sandy,No,36.9,1642.4,77,Kolkata,1579.59,Yes
Maharashtra,Wheat,2018,Zaid,30255.3,106726.29,3.53,DAP,Canal,Loamy,Yes,28,1509.5,85,Chennai,1709.25,No
Haryana,Cotton,2017,Kharif,1775.23,4479.38,2.52,Urea,Canal,Red,No,30.4,1500.3,87,Chennai,4450.7,Yes
Maharashtra,Maize,2020,Rabi,17524.13,73891.8,4.22,Compost,Sprinkler,Sandy,No,28,438.2,48,Chennai,2571.04,Yes
West Bengal,Sugarcane,2021,Kharif,30191.79,81625.43,2.7,Urea,Drip,Red,Yes,26,1666.9,72,Kolkata,1017.5,Yes
Punjab,Maize,2017,Zaid,4401.77,13457,3.06,MOP,Drip,Clay,No,36.1,624.6,52,Patna,2095.49,No
Haryana,Sugarcane,2021,Zaid,32368.24,74882.06,2.31,Urea,Drip,Red,Yes,25.4,1867.7,61,Ludhiana,3390.52,Yes
Karnataka,Rice,2019,Rabi,12310.63,35338.6,2.87,Compost,Canal,Loamy,No,34.5,792.8,79,Patna,4197.06,No
Maharashtra,Rice,2020,Rabi,18784.27,84274.53,4.49,DAP,Drip,Sandy,Yes,24.1,1729.6,26,Bangalore,1533.55,Yes
Tamil Nadu,Sugarcane,2020,Rabi,47923.64,97088.93,2.03,Urea,Sprinkler,Loamy,Yes,25,605.8,8,Patna,1442.17,Yes
Tamil Nadu,Wheat,2018,Rabi,21711.77,86096.27,3.97,MOP,Canal,Loamy,No,26.7,1077.6,85,Lucknow,4688.37,Yes
Bihar,Wheat,2020,Zaid,46431.71,102332.06,2.2,MOP,Canal,Sandy,Yes,31.8,303.1,76,Patna,4004.59,No
Bihar,Maize,2021,Kharif,42259.63,129435.92,3.06,DAP,Canal,Loamy,Yes,29.1,1354.2,50,Patna,3359.12,No
Maharashtra,Rice,2017,Kharif,41477.31,159525.23,3.85,Urea,Canal,Black,No,34.9,1688.6,63,Patna,4076.75,No
Haryana,Cotton,2020,Kharif,12140.51,30655.07,2.53,Compost,Sprinkler,Black,No,24.3,1465,38,Amritsar,2715.42,No
Punjab,Cotton,2018,Zaid,12713.71,38512.02,3.03,DAP,Drip,Black,Yes,20.2,1094.2,15,Bangalore,4033.82,No
Uttar Pradesh,Sugarcane,2018,Rabi,26268.29,111855,4.26,Urea,Sprinkler,Red,No,35.5,185.7,35,Lucknow,2487.21,Yes
Uttar Pradesh,Sugarcane,2021,Rabi,25556.5,68786.25,2.69,None,Drip,Loamy,Yes,36.4,1873.5,15,Patna,1976.38,Yes
Maharashtra,Rice,2021,Zaid,34040.89,105439.74,3.1,MOP,Sprinkler,Sandy,Yes,21.2,1440.4,60,Ludhiana,3916.05,No
Maharashtra,Maize,2020,Rabi,4965.04,13450,2.71,Compost,Rainfed,Sandy,No,32.2,1517.1,42,Bangalore,2678.69,No
Haryana,Maize,2018,Zaid,17958.89,79500.96,4.43,Compost,Rainfed,Red,No,27.6,1609.9,25,Mumbai,4925.51,No
Karnataka,Rice,2017,Rabi,7493.71,30619.62,4.09,Compost,Rainfed,Sandy,Yes,35.9,1520.7,98,Amritsar,2397.94,No
Bihar,Wheat,2021,Zaid,47687.08,189584.87,3.98,MOP,Rainfed,Black,No,37.5,938.1,14,Kolkata,4686.91,Yes
West Bengal,Cotton,2018,Kharif,2264.78,4315.54,1.91,Urea,Canal,Loamy,No,37,1493.9,30,Ludhiana,4731.85,No
Bihar,Cotton,2020,Kharif,46886.01,193560.25,4.13,DAP,Canal,Sandy,Yes,35.5,1287.6,95,Patna,1967.41,No
West Bengal,Sugarcane,2021,Zaid,31359.81,108210.26,3.45,Urea,Sprinkler,Sandy,Yes,25.4,1722.6,12,Ludhiana,4192.88,No
Uttar Pradesh,Maize,2021,Zaid,10397.34,22201.09,2.14,DAP,Sprinkler,Clay,Yes,36.2,1624.7,12,Lucknow,2732.3,No
Maharashtra,Maize,2018,Kharif,31355.39,75004.14,2.39,Compost,Rainfed,Clay,Yes,30.7,178.6,64,Amritsar,4670.1,Yes
Tamil Nadu,Maize,2017,Zaid,4656.86,17920.01,3.85,Urea,Drip,Clay,Yes,21.1,819.9,76,Lucknow,2800.5,Yes
Maharashtra,Maize,2020,Kharif,25961.68,116570.29,4.49,Compost,Rainfed,Loamy,Yes,29.1,166,38,Kolkata,3977.21,No
Punjab,Cotton,2020,Kharif,31570.9,97273.87,3.08,None,Sprinkler,Black,No,38.8,293.9,20,Kolkata,2867.87,Yes
Tamil Nadu,Rice,2021,Zaid,23039.45,48011.16,2.08,Compost,Rainfed,Black,Yes,37.8,1242.7,17,Ludhiana,1911.2,Yes
Tamil Nadu,Maize,2020,Rabi,41549.36,153767.66,3.7,Compost,Sprinkler,Black,No,22,1760.3,91,Amritsar,1797.4,No
Maharashtra,Cotton,2018,Rabi,24585.86,38294.37,1.56,DAP,Rainfed,Loamy,No,34.9,327.7,80,Mumbai,2701.72,No
Tamil Nadu,Cotton,2018,Zaid,7718.38,23972.75,3.11,None,Drip,Loamy,Yes,36.1,957.1,95,Ludhiana,4021.98,Yes
Punjab,Cotton,2021,Rabi,12818.87,56757.1,4.43,Compost,Rainfed,Clay,No,25.4,1830.7,26,Bangalore,3420.29,Yes
Haryana,Cotton,2021,Kharif,6377.07,20048.73,3.14,Compost,Drip,Sandy,Yes,29.4,1647.2,31,Amritsar,3754.52,Yes
Tamil Nadu,Cotton,2020,Zaid,8312.65,15641.08,1.88,None,Drip,Red,No,34.2,1087.4,68,Chennai,2129.31,Yes
Haryana,Sugarcane,2020,Rabi,24324.89,63917.66,2.63,None,Sprinkler,Red,Yes,28.8,1566,6,Kolkata,2925.74,Yes
Bihar,Cotton,2018,Kharif,47854.89,90897.25,1.9,Urea,Drip,Sandy,Yes,22.3,1093.1,30,Mumbai,1177.58,No
Karnataka,Wheat,2017,Kharif,34718.6,97656.8,2.81,DAP,Canal,Clay,Yes,34.1,400.4,96,Ludhiana,4270.13,Yes
